R_DEF,LOC,MUN,EST,EST_D,AGEB,T_LOC,CD_A,ENT,CON,UPM,D_SEM,N_PRO_VIV,V_SEL,N_HOG,H_MUD,N_ENT,PER,N_REN,C_RES,PAR_C,SEX,EDA,NAC_DIA,NAC_MES,NAC_ANIO,L_NAC_C,CS_P12,CS_P13_1,CS_P13_2,CS_P14_C,CS_P15,CS_P16,CS_P17,N_HIJ,E_CON,CS_AD_MOT,CS_P20_DES,CS_AD_DES,CS_NR_MOT,CS_P22_DES,CS_NR_ORI,UR,ZONA,SALARIO,FAC,CLASE1,CLASE2,CLASE3,POS_OCU,SEG_SOC,RAMA,C_OCU11C,ING7C,DUR9C,EMPLE7C,MEDICA5C,BUSCAR5C,RAMA_EST1,RAMA_EST2,DUR_EST,AMBITO1,AMBITO2,TUE1,TUE2,TUE3,BUSQUEDA,D_ANT_LAB,D_CEXP_EST,DUR_DES,SUB_O,S_CLASIFI,REMUNE2C,PRE_ASA,TIP_CON,DISPO,NODISPO,C_INAC5C,PNEA_EST,NIV_INS,EDA5C,EDA7C,EDA12C,EDA19C,HIJ5C,DOMESTICO,ANIOS_ESC,HRSOCUP,INGOCUP,ING_X_HRS,TPG_P8A,TCCO,CP_ANOC,IMSSISSSTE,MA48ME1SM,P14APOYOS,SCIAN,T_TRA,EMP_PPAL,TUE_PPAL,TRANS_PPAL,MH_FIL2,MH_COL,SEC_INS
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0060,02,1,0,1,215,04,1,301,2,31,01,09,1983,009,1,03,3,,,,2,00,6,,,,,,,1,1,2103,741,1,1,1,1,2,3,6,2,6,2,1,4,3,5,4,2,3,1,2,0,2,0,0,0,0,0,1,2,5,0,0,0,0,3,2,3,4,9,1,3,9,48,0,0,0,0,0,4,0,0,7,1,1,2,0,3,1,4
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0060,02,1,0,1,215,05,1,413,2,17,09,03,1998,009,1,04,2,,,,1,00,6,,,,,,,1,1,2103,741,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,1,1,1,6,1,8,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0119,04,1,0,1,215,01,1,101,1,45,31,03,1970,009,1,03,2,,,,2,,6,,,,,,,1,1,2103,741,1,1,1,3,2,4,6,2,6,1,1,4,3,10,4,2,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,7,12,0,3,8,48,0,0,0,0,1,4,0,0,19,1,1,1,0,1,7,8
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0119,04,1,0,1,215,02,1,413,1,21,03,03,1994,009,1,07,3,5314,3,2,1,,6,,,,,,,1,1,2103,741,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,1,2,2,7,0,8,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0144,05,1,0,1,215,01,1,101,2,50,09,08,1964,009,1,04,2,,,,2,02,3,,,,,,,1,1,2103,741,1,1,1,3,2,3,6,1,2,1,1,4,3,5,2,2,2,3,5,0,2,0,0,0,1,2,0,0,0,0,0,0,0,3,3,5,8,13,2,3,11,6,0,0,0,0,1,4,0,0,7,1,1,1,0,1,7,8
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0144,05,1,0,1,215,02,1,301,1,29,27,07,1985,009,1,04,3,,,,2,,5,,,,,,,1,1,2103,741,1,1,1,1,2,2,1,2,3,3,4,4,2,3,3,2,3,1,2,0,2,0,0,0,0,0,1,1,5,0,0,0,0,4,2,2,3,8,0,3,12,24,0,0,0,0,0,4,0,0,5,1,1,2,0,3,1,4
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0144,05,1,0,1,215,03,1,417,2,27,13,12,1987,009,1,04,3,,,,2,03,5,,,,,,,1,1,2103,741,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,4,2,2,3,8,3,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0144,05,1,0,1,215,04,1,409,2,07,05,10,2007,009,1,02,2,,,,1,,,,,,,,,1,1,2103,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0144,05,1,0,1,215,05,1,409,1,04,03,09,2010,009,,,,,,,,,,,,,,,,1,1,2103,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0144,05,1,0,1,215,06,1,409,1,01,26,08,2013,009,,,,,,,,,,,,,,,,1,1,2103,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
